publish_date,content,time_24h,corrected_date,injury_severity,affected_party,collision,running_over_pedestrian,lost_control,crushed_into_obstacle,overturned,other,primary_accident_type_code,driver_ages,location,street,locality,day_of_week_num,rush_hour,rain_today,rain_last_3h,temp_avg,temp_min,temp_max,precip_mm_day,roadworks_nearby,primary_accident_type
2025-10-09,"Today, at around 0930hrs, the Police were informed of a traffic accident on Triq il-Belt Valletta, Żurrieq.The Police immediately went to the scene and from a preliminary investigation it resulted that a collision had occurred between a Toyota Aqua driven by a 67-year-old woman resident of Żurrieq and a Piaggio Beverly motorbike driven by a 61-year-old man from Mqabba.A medical team was called to the scene and an ambulance took the motorbike driver to Mater Dei Hospital, where he was certified to be seriously injured.Magistrate Dr Monica Borg Galea LL.D was informed and appointed an inquiry while Police investigations are still ongoing.",09:30,2025-10-09,serious,motorcyclist,1,0,0,0,0,0,COLL,"['67', '61']","Triq il-Belt Valletta, Żurrieq",Triq il-Belt Valletta,Żurrieq,3,1,False,False,20.4,16.0,25.0,0.0,False,collision
2025-06-20,"Yesterday, at around 1830hrs, the Police were informed of a traffic accident in Triq Dawret il-Gudja, Gudja.Preliminary investigations showed that a collision occurred between a Honda fit that was being driven by a 64-year-old man from Santa Luċija and a Kawasaki Ninja motorcycle that was being driven by a 23-year-old man from Gudja.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.",18:30,2025-06-19,grievous,motorcyclist,1,0,0,0,0,0,COLL,"['64', '23']","Triq Dawret il-Gudja, Gudja",Triq Dawret il-Gudja,Gudja,3,1,False,False,24.8,21.0,29.5,0.0,False,collision
2025-05-12,"Today, at around 0800hrs, the Police were informed of a traffic accident in Valley Road, Qormi.Preliminary investigations showed that a collision occurred between a Ford Transit driven by a 34-year-old man residing in Żebbuġ and a Honda motorcycle driven by a 29-year-old man who lives in Qormi.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.",08:00,2025-05-12,grievous,motorcyclist,1,0,0,0,0,0,COLL,"['34', '29']","Valley Road, Qormi",Valley Road,Qormi,0,1,False,False,21.1,17.9,25.4,0.0,False,collision
2025-07-30,"Yesterday, at around 1800hrs, the Police were informed of a traffic accident in Triq Dawret Ħal Għaxaq, Għaxaq.Preliminary investigations by the Police found that there was a collision between a Volvo XC60 that was being driven by a 42-year-old man from Għaxaq and a Malaguti Madison motorcycle that was being driven by a 29-year-old Brazilian man from Zurrieq.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital for treatment where he was later certified to have sustained grievous injuries.Police investigations are ongoing.",18:00,2025-07-29,grievous,motorcyclist,1,0,0,0,0,0,COLL,"['42', '29']","Triq Dawret Ħal Għaxaq, Għaxaq",Triq Dawret Ħal Għaxaq,Għaxaq,1,1,False,False,25.7,22.8,29.3,0.0,False,collision
2025-04-07,"Yesterday, at around quarter to nine in the evening (2045hrs), the Police were informed of a traffic accident in Triq il-Buqana, Rabat.Preliminary investigations showed that a collision occurred between a Kia Avella driven by a 25-year-old man from Santa Luċija and a Kymco Agility motorcycle driven by a 41-year-old man from Birkirkara.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei Hospital. He was later certified to have sustained grievous injuries.Police investigations are ongoing.",20:45,2025-04-06,grievous,motorcyclist,1,0,0,0,0,0,COLL,"['25', '41']","Triq il-Buqana, Rabat",Triq il-Buqana,Rabat,6,0,False,False,15.5,11.5,19.3,0.0,False,collision
2025-04-16,"Yesterday, at around ten minutes to nine in the morning (0850 hrs), the Police were informed of a traffic accident in Triq Aldo Moro, Marsa.Preliminary investigations by the District Police found that a collision occurred between a Yamaha motorcycle driven by a 36-year-old man from Cospicua, an Isuzu Elf van driven by a 52-year-old man from Fgura and a Hyundai Kona driven by a 53-year-old man from Żabbar.A medical team was called on site to assist and an ambulance took the motorcyclist to Mater Dei Hospital for treatment. He was later certified to have sustained grievous injuries.Police investigations in connection with this incident are ongoing.",08:50,2025-04-15,grievous,motorcyclist,1,0,0,0,0,0,COLL,"['36', '52', '53']","Triq Aldo Moro, Marsa",Triq Aldo Moro,Marsa,1,1,False,False,19.3,16.6,22.6,0.0,False,collision
2025-07-23,"Today, at around 1030hrs, the Police were informed of a traffic accident in Mosta Road, Lija.The Police immediately went to the scene and from a preliminary investigation it resulted that a collision had occurred between a Renault Trafic van driven by a 24-year-old man residing in Mtarfa and a Suzuki Swift driven by an 81-year-old man residing in Mosta. In the Suzuki, there was also a 79-year-old woman who lives in Mosta.Members of the Civil Protection Department were called to the scene, as well as a medical team, and ambulances took all the people to Mater Dei Hospital to be given the necessary treatment.Unfortunately, the woman was certified dead a short time later while the other elderly man is in a serious condition. The other man was certified with slight injuries.Magistrate Dr Ian Farrugia LL.D was informed of the case and appointed an inquiry while Police investigations are ongoing.",10:30,2025-07-23,minor,driver,1,0,0,0,0,0,COLL,"['24', '81', '79']","Mosta Road, Lija",Mosta Road,Lija,2,0,False,False,28.8,25.0,34.4,0.0,False,collision
2025-08-03,"This morning, at around 0815 hrs, the Police were informed of a traffic accident in Triq tal-Barrani, Żejtun.Preliminary investigations showed that a collision occurred between a Peugeot Tweet driven by a 66-year-old man from Zabbar and a Kawazaki motorcycle driven by a 30-year-old woman who lives in Marsaxlokk.A medical team was called on site and an ambulance took both drivers to Mater Dei Hospital for treatment. The man was later certified as suffering from serious injuries while the woman was certified as suffering from grievous injuries.Police investigations are ongoing.",08:15,2025-08-03,serious,motorcyclist,1,0,0,0,0,0,COLL,"['66', '30']","Triq tal-Barrani, Żejtun",Triq tal-Barrani,Żejtun,6,0,False,False,27.3,22.6,32.8,0.0,False,collision
2025-06-14,"On wednesday the 11th of June, at around four in the afternoon (1545 hrs), the Police were informed of a traffic accident in John Adye Street, Naxxar.Preliminary investigations showed that a collision occurred between a Honda motorcycle driven by a 35-year-old man from Bosnia and Herzegovina and a resident of Għargħur and an Isuzu Rodeo driven by a 59-year-old man from Marsa.A medical team was called on site and an ambulance took the motorcyclist to Mater Dei where he was later certified to have sustained grievous injuries.Police investigations are ongoing.",15:45,2025-06-14,grievous,motorcyclist,1,0,0,0,0,0,COLL,"['35', '59']","John Adye Street, Naxxar",John Adye Street,Naxxar,5,0,False,False,27.2,21.7,32.3,0.0,False,collision
2024-12-28,"Today, at around quarter past nine in the morning (0915 hrs), assistance was requested in St James Square, Zabbar after a vehicle hit a number of people.The Police went immediately on site together with a number of ambulances and members of the Civil Protection Department.It resulted from initial investigations that a 79-year-old man, from Zabbar, lost control of the vehicle he was driving and accidentally hit some persons. He was taken to Mater Dei Hospital for observation, but it was later confirmed that he was not injured.Four women, aged 39, 66, 77 and 84, and two men aged 36 and 81, all residing in Zabbar, were taken to Mater Dei Hospital by ambulances. The 84-year-old woman was later certified as suffering from grievous injuries and the others were certified as suffering from slight injuries. Three other persons were treated at the scene of the accident.Police investigations in connection with this incident are ongoing.",09:15,2024-12-28,minor,pedestrian,0,1,1,0,0,0,PED,"['79', '84']","St James Square, Zabbar after a vehicle hit a number of people",St James Square,Zabbar after a vehicle hit a number of people,5,0,True,False,13.2,10.6,16.5,0.8,False,running over pedestrian
