Feature,Importance
affected_party_driver,0.30638297872340425
primary_accident_type_code_FXOBJ,0.05957446808510636
affected_party_motorcyclist,0.042553191489361694
vehicle_type_score,0.03404255319148937
age_min_encoded,0.025531914893617037
rush_hour,0.02127659574468086
day_of_week_num_2,0.017021276595744705
day_of_week_num_5,0.012765957446808529
time_period_Evening,0.012765957446808529
day_of_week_num_1,0.012765957446808529
day_of_week_num_4,0.008510638297872353
roadworks_nearby,0.004255319148936176
affected_party_pedestrian,0.0
day_of_week_num_6,0.0
primary_accident_type_code_PED,0.0
time_period_Night,0.0
rain_last_3h,0.0
day_of_week_num_3,-0.004255319148936176
rain_today,-0.004255319148936176
time_period_Morning,-0.012765957446808507
primary_accident_type_code_OTH,-0.021276595744680882
